order_id,order_date,region,product_category,customer_id,quantity,unit_price,revenue
ORD-00458,2024-12-08,East,Home Goods,CUST-0168,6,30.82,184.92
ORD-00160,2025-02-27,West,Apparel,CUST-0060,2,18.25,36.5
ORD-00250,2024-01-23,South,Sporting Goods,CUST-0076,11,139.26,1531.86
ORD-00051,2025-02-14,East,Apparel,CUST-0031,8,46.22,369.76
ORD-00379,2024-07-24,East,Sporting Goods,CUST-0177,10,167.81,1678.1
ORD-00294,2024-06-28,West,Apparel,CUST-0135,6,209.16,1254.96
ORD-00015,2025-01-22,West,Apparel,CUST-0116,2,269.25,538.5
ORD-00329,2024-03-17,West,Sporting Goods,CUST-0005,7,277.13,1939.91
ORD-00490,2024-11-23,South,Books,CUST-0064,5,51.97,259.85
ORD-00115,2024-09-30,East,Electronics,CUST-0133,2,251.86,503.72
ORD-00146,2025-04-05,South,Apparel,CUST-0080,1,143.44,143.44
ORD-00004,2024-08-24,North,Apparel,CUST-0083,2,132.12,264.24
ORD-00448,2025-05-31,East,Books,CUST-0116,6,279.44,1676.64
ORD-00060,2025-01-03,North,Books,CUST-0073,7,261.21,1828.47
ORD-00423,2025-02-17,West,Books,CUST-0019,2,147.35,294.7
ORD-00166,2025-03-15,North,Apparel,CUST-0166,6,256.49,1538.94
ORD-00222,2024-09-03,South,Sporting Goods,CUST-0028,8,72.29,578.32
ORD-00099,2024-12-09,East,Books,CUST-0135,11,245.1,2696.1
ORD-00436,2024-03-07,South,Electronics,CUST-0101,3,38.02,114.06
ORD-00041,2024-03-30,West,Home Goods,CUST-0052,4,247.6,990.4
ORD-00249,2025-02-28,South,Books,CUST-0028,5,147.03,735.15
ORD-00042,2025-02-13,North,Apparel,CUST-0160,11,78.3,861.3
ORD-00265,2025-06-18,South,Home Goods,CUST-0019,3,43.07,129.21
ORD-00194,2024-07-14,North,Apparel,CUST-0040,5,223.06,1115.3
ORD-00206,2024-05-23,North,Books,CUST-0143,4,296.1,1184.4
ORD-00080,2024-12-27,North,Sporting Goods,CUST-0023,7,262.89,1840.23
ORD-00029,2024-10-21,West,Electronics,CUST-0095,1,51.05,51.05
ORD-00218,2024-02-22,West,Apparel,CUST-0179,8,185.06,1480.48
ORD-00348,2025-05-20,East,Home Goods,,5,195.34,976.7
ORD-00245,2024-12-05,East,Apparel,CUST-0128,3,215.32,645.96
ORD-00282,2024-09-19,East,Apparel,CUST-0064,11,240.6,2646.6
ORD-00058,2024-03-24,East,Sporting Goods,CUST-0133,10,153.4,1534.0
ORD-00398,2024-04-16,South,Books,,7,88.31,618.17
ORD-00063,2024-07-16,North,Apparel,CUST-0027,8,267.82,2142.56
ORD-00381,2024-01-03,West,Apparel,CUST-0033,1,155.61,155.61
ORD-00112,2025-02-25,North,Electronics,CUST-0121,11,234.53,2579.83
ORD-00085,2024-12-06,North,Sporting Goods,CUST-0024,4,185.04,740.16
ORD-00243,2024-02-21,East,Home Goods,CUST-0082,6,15.94,95.64
ORD-00201,2024-07-16,North,Apparel,CUST-0066,10,276.02,2760.2
ORD-00147,2024-01-19,West,Apparel,CUST-0032,7,92.51,647.57
ORD-00189,2024-05-08,East,Books,CUST-0083,8,178.13,1425.04
ORD-00130,2024-12-08,East,Electronics,CUST-0058,1,127.73,127.73
ORD-00306,2024-03-16,North,Electronics,CUST-0018,11,207.32,2280.52
ORD-00097,2024-05-09,West,Sporting Goods,CUST-0169,6,64.04,384.24
ORD-00319,2025-05-21,South,Electronics,CUST-0153,2,153.76,307.52
ORD-00418,2024-03-06,West,Home Goods,CUST-0047,11,219.65,2416.15
ORD-00470,2025-05-18,West,Electronics,CUST-0039,8,156.87,1254.96
ORD-00142,2024-04-25,North,Electronics,CUST-0157,6,36.55,219.3
ORD-00455,2024-11-18,North,Books,CUST-0149,4,272.52,1090.08
ORD-00427,2025-04-11,West,Apparel,CUST-0029,7,110.85,775.95
ORD-00363,2024-04-30,West,Books,CUST-0173,10,297.16,2971.6
ORD-00163,2024-08-08,North,Electronics,CUST-0073,2,236.61,473.22
ORD-00217,2024-02-12,East,Sporting Goods,CUST-0081,5,106.36,531.8
ORD-00325,2025-06-10,West,Sporting Goods,,7,223.35,1563.45
ORD-00239,2024-06-15,East,Electronics,CUST-0086,6,163.14,978.84
ORD-00407,2024-08-22,West,Apparel,CUST-0067,7,137.31,961.17
ORD-00082,2024-08-24,North,Apparel,CUST-0017,6,99.79,598.74
ORD-00488,2024-10-13,South,Apparel,CUST-0010,9,210.33,1892.97
ORD-00315,2024-05-11,East,Books,CUST-0041,3,250.29,750.87
ORD-00188,2024-07-24,South,Home Goods,CUST-0047,7,155.54,1088.78
ORD-00426,2024-04-17,South,Electronics,CUST-0101,3,21.42,64.26
ORD-00299,2024-06-02,East,Home Goods,CUST-0040,8,169.85,1358.8
ORD-00180,2024-09-27,West,Home Goods,CUST-0082,5,162.02,810.1
ORD-00439,2024-02-13,East,Books,CUST-0152,10,79.71,797.1
ORD-00054,2024-09-09,South,Sporting Goods,CUST-0170,3,115.83,347.49
ORD-00396,2025-04-17,West,Books,CUST-0118,6,59.68,358.08
ORD-00140,2024-08-23,West,Apparel,CUST-0072,10,221.11,2211.1
ORD-00268,2024-07-06,East,Home Goods,CUST-0131,11,29.62,325.82
ORD-00279,2024-02-05,East,Apparel,CUST-0067,5,109.05,545.25
ORD-00067,2025-05-03,South,Books,CUST-0130,9,31.7,285.3
ORD-00425,2024-08-13,East,Apparel,CUST-0063,5,73.53,367.65
ORD-00260,2024-11-13,North,Home Goods,CUST-0178,5,277.19,1385.95
ORD-00366,2024-10-07,East,Home Goods,CUST-0016,1,259.11,259.11
ORD-00221,2024-03-09,South,Electronics,,7,15.14,105.98
ORD-00100,2024-03-16,North,Sporting Goods,CUST-0045,5,85.3,426.5
ORD-00278,2025-02-26,West,Electronics,CUST-0010,10,138.64,1386.4
ORD-00149,2025-03-19,South,Books,CUST-0152,11,273.02,3003.22
ORD-00016,2025-02-28,North,Books,CUST-0058,10,87.6,876.0
ORD-00164,2024-08-07,West,Home Goods,CUST-0164,6,69.59,417.54
ORD-00284,2024-09-21,East,Books,CUST-0141,10,52.83,528.3
ORD-00047,2024-08-28,West,Sporting Goods,CUST-0082,9,78.35,705.15
ORD-00087,2024-02-22,North,Books,CUST-0132,5,108.64,543.2
ORD-00038,2025-03-22,South,Electronics,CUST-0008,6,226.41,1358.46
ORD-00415,2024-01-10,South,Apparel,CUST-0067,5,51.81,259.05
ORD-00385,2024-01-18,North,Sporting Goods,CUST-0033,4,105.4,421.6
ORD-00331,2024-10-22,South,Apparel,CUST-0012,11,144.75,1592.25
ORD-00173,2025-02-20,North,Apparel,CUST-0179,10,229.91,2299.1
ORD-00074,2024-03-11,South,Books,CUST-0062,5,252.29,1261.45
ORD-00275,2024-08-13,North,Sporting Goods,CUST-0032,6,194.43,1166.58
ORD-00105,2025-03-06,South,Electronics,CUST-0156,9,76.69,690.21
ORD-00213,2025-03-02,West,Books,CUST-0109,11,294.15,3235.65
ORD-00254,2024-06-27,South,Apparel,CUST-0090,8,245.03,1960.24
ORD-00017,2024-10-04,North,Home Goods,CUST-0075,8,40.33,322.64
ORD-00311,2024-12-25,North,Apparel,CUST-0051,6,72.93,437.58
ORD-00092,2025-03-10,West,Apparel,CUST-0059,5,24.92,124.6
ORD-00089,2025-02-18,North,Books,CUST-0055,11,94.52,1039.72
ORD-00428,2025-03-10,South,Electronics,CUST-0069,4,215.73,862.92
ORD-00141,2025-06-14,East,Sporting Goods,CUST-0126,3,228.34,685.02
ORD-00195,2025-06-02,North,Electronics,CUST-0118,11,205.97,2265.67
ORD-00103,2025-03-10,East,Books,CUST-0031,9,205.89,1853.01
ORD-00259,2024-04-04,South,Home Goods,CUST-0001,4,271.64,1086.56
ORD-00175,2025-01-11,East,Sporting Goods,CUST-0042,11,236.0,2596.0
ORD-00171,2024-02-27,East,Sporting Goods,CUST-0004,9,97.29,875.61
ORD-00247,2025-02-13,South,Books,CUST-0104,3,225.25,675.75
ORD-00158,2024-10-27,West,Books,CUST-0114,3,255.23,765.69
ORD-00071,2025-03-05,West,Electronics,CUST-0034,9,126.95,1142.55
ORD-00134,2024-10-28,South,Books,CUST-0072,7,209.6,1467.2
ORD-00281,2024-05-28,East,Electronics,CUST-0137,4,57.56,230.24
ORD-00499,2025-05-15,East,Apparel,CUST-0006,5,254.94,1274.7
ORD-00372,2024-12-23,South,Apparel,CUST-0148,11,136.42,1500.62
ORD-00223,2025-01-15,North,Sporting Goods,CUST-0005,2,215.88,431.76
ORD-00343,2024-12-01,South,Books,CUST-0098,9,53.05,477.45
ORD-00351,2024-10-14,South,Electronics,CUST-0097,3,75.36,226.08
ORD-00353,2024-06-10,West,Home Goods,CUST-0128,2,154.06,308.12
ORD-00493,2025-02-10,West,Apparel,CUST-0167,3,107.2,321.6
ORD-00233,2024-01-11,East,Sporting Goods,CUST-0168,11,226.91,2496.01
ORD-00019,2025-03-29,North,Home Goods,CUST-0129,2,53.09,106.18
ORD-00178,2024-03-28,West,Home Goods,,10,136.84,1368.4
ORD-00387,2024-02-06,East,Sporting Goods,CUST-0171,11,45.15,496.65
ORD-00021,2024-09-27,North,Books,CUST-0055,5,93.07,465.35
ORD-00056,2024-01-24,South,Electronics,CUST-0066,2,230.84,461.68
ORD-00285,2024-08-26,North,Sporting Goods,CUST-0122,11,79.93,879.23
ORD-00424,2024-11-09,East,Home Goods,CUST-0148,6,113.02,678.12
ORD-00361,2025-04-01,East,Sporting Goods,CUST-0117,3,178.07,534.21
ORD-00035,2025-04-24,East,Books,CUST-0177,9,28.42,255.78
ORD-00182,2024-03-23,East,Electronics,CUST-0044,2,247.59,495.18
ORD-00185,2024-09-24,North,Apparel,CUST-0114,6,42.41,254.46
ORD-00151,2025-04-07,South,Electronics,CUST-0059,10,85.68,856.8
ORD-00208,2025-06-07,South,Books,CUST-0151,4,128.41,513.64
ORD-00240,2024-12-04,East,Apparel,CUST-0159,4,235.55,942.2
ORD-00293,2025-05-30,West,Apparel,CUST-0043,8,71.25,570.0
ORD-00370,2025-02-20,North,Sporting Goods,CUST-0032,3,251.19,753.57
ORD-00296,2024-10-08,South,Apparel,CUST-0144,11,94.15,1035.65
ORD-00098,2025-01-03,North,Sporting Goods,CUST-0155,8,59.23,473.84
ORD-00236,2025-01-23,South,Sporting Goods,CUST-0142,2,225.85,451.7
ORD-00397,2024-01-25,North,Home Goods,CUST-0170,8,199.51,1596.08
ORD-00453,2024-09-26,North,Electronics,CUST-0018,11,230.8,2538.8
ORD-00155,2024-08-22,West,Electronics,CUST-0127,10,283.59,2835.9
ORD-00123,2024-12-19,South,Books,CUST-0105,2,244.5,489.0
ORD-00114,2024-09-04,North,Sporting Goods,CUST-0163,7,118.47,829.29
ORD-00442,2024-06-11,West,Apparel,CUST-0001,11,140.83,1549.13
ORD-00342,2024-06-06,South,Electronics,CUST-0071,8,174.44,1395.52
ORD-00172,2024-02-18,North,Home Goods,CUST-0134,10,188.72,1887.2
ORD-00109,2024-09-11,South,Apparel,CUST-0051,6,133.55,801.3
ORD-00079,2024-10-31,East,Electronics,CUST-0047,11,298.49,3283.39
ORD-00095,2025-04-29,East,Sporting Goods,,4,251.56,1006.24
ORD-00062,2025-02-06,South,Apparel,CUST-0101,4,187.15,748.6
ORD-00337,2025-06-04,North,Books,CUST-0082,11,8.17,89.87
ORD-00466,2025-06-05,North,Sporting Goods,CUST-0035,7,29.91,209.37
ORD-00126,2024-11-01,North,Books,,7,226.15,1583.05
ORD-00479,2024-12-24,South,Electronics,CUST-0014,4,222.37,889.48
ORD-00395,2025-01-23,East,Electronics,CUST-0085,3,100.38,301.14
ORD-00486,2024-05-05,East,Sporting Goods,CUST-0065,8,278.59,2228.72
ORD-00422,2025-01-09,East,Home Goods,CUST-0136,9,95.68,861.12
ORD-00274,2025-06-01,Unknown,Apparel,CUST-0083,8,265.6,2124.8
ORD-00410,2024-01-08,South,Books,CUST-0005,4,268.77,1075.08
ORD-00025,2025-02-26,East,Sporting Goods,CUST-0014,1,214.78,214.78
ORD-00322,2024-02-28,West,Sporting Goods,CUST-0007,10,151.61,1516.1
ORD-00431,2024-02-15,North,Electronics,CUST-0024,2,196.05,392.1
ORD-00305,2024-10-20,North,Electronics,CUST-0164,2,205.03,410.06
ORD-00127,2024-02-12,West,Home Goods,CUST-0056,11,116.49,1281.39
ORD-00500,2024-08-17,West,Apparel,CUST-0167,8,159.86,1278.88
ORD-00492,2025-04-13,North,Home Goods,CUST-0048,8,204.86,1638.88
ORD-00179,2025-05-01,North,Books,CUST-0113,7,263.99,1847.93
ORD-00435,2024-08-22,East,Electronics,CUST-0081,9,215.82,1942.38
ORD-00378,2025-02-07,North,Books,CUST-0025,11,101.69,1118.59
ORD-00224,2024-04-19,North,Sporting Goods,CUST-0076,5,172.55,862.75
ORD-00352,2024-01-25,East,Apparel,CUST-0135,5,272.49,1362.45
ORD-00094,2024-07-28,East,Electronics,CUST-0036,2,125.64,251.28
ORD-00070,2024-09-10,West,Books,CUST-0076,11,152.34,1675.74
ORD-00037,2025-04-08,North,Electronics,CUST-0105,4,236.41,945.64
ORD-00161,2025-06-21,East,Sporting Goods,CUST-0145,5,55.29,276.45
ORD-00012,2025-06-10,West,Apparel,CUST-0071,10,65.99,659.9
ORD-00145,2025-06-20,North,Electronics,CUST-0065,5,62.13,310.65
ORD-00354,2024-08-22,East,Electronics,CUST-0084,1,228.78,228.78
ORD-00128,2025-02-17,South,Home Goods,CUST-0112,1,63.14,63.14
ORD-00382,2025-05-20,West,Apparel,CUST-0081,3,193.91,581.73
ORD-00010,2024-02-20,East,Sporting Goods,CUST-0114,2,225.6,451.2
ORD-00464,2024-08-14,West,Books,CUST-0105,1,52.85,52.85
ORD-00177,2025-01-22,North,Electronics,CUST-0019,11,220.69,2427.59
ORD-00232,2025-04-07,North,Books,CUST-0013,6,22.86,137.16
ORD-00211,2024-05-21,East,Apparel,CUST-0126,1,238.04,238.04
ORD-00129,2024-11-06,South,Apparel,CUST-0012,7,65.08,455.56
ORD-00144,2024-08-08,East,Home Goods,,6,66.56,399.36
ORD-00242,2024-11-11,East,Sporting Goods,CUST-0119,2,75.38,150.76
ORD-00008,2025-01-11,North,Home Goods,CUST-0028,7,142.24,995.68
ORD-00255,2024-12-22,South,Sporting Goods,CUST-0053,11,110.07,1210.77
ORD-00371,2024-06-30,East,Electronics,CUST-0008,4,96.54,386.16
ORD-00335,2024-09-05,West,Home Goods,CUST-0100,5,71.34,356.7
ORD-00009,2024-04-18,North,Books,CUST-0141,5,70.92,354.6
ORD-00157,2024-03-09,North,Books,,1,73.61,73.61
ORD-00028,2025-03-20,South,Electronics,CUST-0171,11,147.69,1624.59
ORD-00267,2024-08-29,South,Home Goods,CUST-0123,5,297.03,1485.15
ORD-00065,2024-08-09,South,Home Goods,CUST-0106,5,239.1,1195.5
ORD-00256,2024-03-19,East,Apparel,CUST-0123,10,176.95,1769.5
ORD-00468,2024-11-17,North,Home Goods,CUST-0122,3,255.9,767.7
ORD-00154,2024-06-07,North,Home Goods,CUST-0098,5,47.43,237.15
ORD-00049,2025-01-01,East,Home Goods,CUST-0135,6,99.64,597.84
ORD-00209,2024-05-22,Unknown,Apparel,CUST-0042,9,263.66,2372.94
ORD-00288,2024-11-04,North,Electronics,CUST-0148,1,208.33,208.33
ORD-00002,2025-02-21,West,Apparel,CUST-0012,2,288.49,576.98
ORD-00270,2024-11-15,West,Electronics,CUST-0175,11,249.56,2745.16
ORD-00266,2024-11-09,North,Books,CUST-0018,6,28.82,172.92
ORD-00327,2024-05-07,West,Electronics,CUST-0062,4,158.58,634.32
ORD-00334,2025-03-24,South,Electronics,CUST-0148,7,60.82,425.74
ORD-00096,2024-06-04,East,Electronics,CUST-0140,2,206.95,413.9
ORD-00463,2025-02-08,West,Electronics,CUST-0085,11,174.98,1924.78
ORD-00491,2025-05-18,North,Home Goods,CUST-0062,6,33.81,202.86
ORD-00317,2025-01-29,East,Apparel,CUST-0016,8,230.04,1840.32
ORD-00117,2024-01-21,East,Sporting Goods,CUST-0172,11,9.26,101.86
ORD-00046,2025-06-08,West,Home Goods,CUST-0178,5,122.48,612.4
ORD-00162,2024-12-24,East,Sporting Goods,CUST-0044,9,194.66,1751.94
ORD-00386,2024-03-07,North,Electronics,CUST-0157,2,104.56,209.12
ORD-00118,2024-03-16,East,Home Goods,CUST-0098,1,174.78,174.78
ORD-00289,2024-10-19,North,Home Goods,CUST-0168,1,258.07,258.07
ORD-00078,2024-05-02,South,Sporting Goods,CUST-0079,5,255.57,1277.85
ORD-00489,2025-02-17,South,Apparel,CUST-0095,10,296.3,2963.0
ORD-00064,2025-06-06,South,Books,CUST-0129,5,273.31,1366.55
ORD-00402,2025-02-23,West,Home Goods,CUST-0102,9,14.34,129.06
ORD-00390,2024-03-23,West,Home Goods,CUST-0157,3,138.31,414.93
ORD-00231,2024-09-07,South,Sporting Goods,CUST-0114,11,283.98,3123.78
ORD-00298,2024-08-25,North,Electronics,CUST-0088,7,92.63,648.41
ORD-00187,2024-03-30,North,Home Goods,CUST-0055,3,154.84,464.52
ORD-00339,2024-04-19,North,Apparel,CUST-0008,3,232.62,697.86
ORD-00200,2025-06-03,East,Books,CUST-0031,2,218.78,437.56
ORD-00457,2024-03-21,East,Home Goods,CUST-0151,2,168.69,337.38
ORD-00122,2024-12-26,North,Electronics,CUST-0171,5,159.52,797.6
ORD-00469,2024-04-07,East,Books,CUST-0005,8,145.96,1167.68
ORD-00434,2024-03-11,South,Books,CUST-0057,5,244.67,1223.35
ORD-00308,2024-10-26,South,Home Goods,CUST-0028,4,138.48,553.92
ORD-00462,2024-03-16,East,Books,CUST-0039,5,129.84,649.2
ORD-00159,2024-09-29,North,Books,CUST-0146,8,124.57,996.56
ORD-00086,2025-01-13,East,Apparel,CUST-0118,7,282.13,1974.91
ORD-00226,2024-06-14,South,Sporting Goods,CUST-0111,7,24.12,168.84
ORD-00263,2024-06-10,North,Electronics,CUST-0006,5,69.84,349.2
ORD-00332,2024-07-19,South,Books,CUST-0155,9,288.96,2600.64
ORD-00413,2024-05-30,North,Electronics,CUST-0167,6,271.94,1631.64
ORD-00077,2024-06-27,West,Home Goods,CUST-0084,3,239.56,718.68
ORD-00391,2025-02-07,East,Electronics,CUST-0082,2,74.54,149.08
ORD-00376,2024-02-21,South,Electronics,CUST-0178,6,241.15,1446.9
ORD-00088,2024-06-17,East,Electronics,CUST-0119,4,170.64,682.56
ORD-00486,2024-05-05,East,Sporting Goods,CUST-0065,8,278.59,2228.72
ORD-00183,2024-09-25,East,Electronics,CUST-0109,5,226.81,1134.05
ORD-00106,2025-02-28,South,Books,CUST-0050,9,88.65,797.85
ORD-00450,2024-06-03,North,Apparel,CUST-0031,6,278.09,1668.54
ORD-00050,2025-02-24,East,Electronics,CUST-0119,2,87.66,175.32
ORD-00383,2025-05-26,North,Electronics,CUST-0165,7,127.23,890.61
ORD-00006,2025-04-08,East,Apparel,CUST-0024,2,155.68,311.36
ORD-00018,2024-03-10,North,Electronics,,6,287.17,1723.02
ORD-00235,2024-09-23,North,Books,CUST-0106,5,261.05,1305.25
ORD-00405,2024-09-26,West,Apparel,CUST-0069,8,185.12,1480.96
ORD-00496,2024-08-10,South,Electronics,CUST-0037,7,228.1,1596.7
ORD-00107,2025-02-25,East,Electronics,CUST-0138,6,289.64,1737.84
ORD-00135,2025-03-05,South,Home Goods,CUST-0079,1,295.03,295.03
ORD-00406,2024-09-27,South,Apparel,CUST-0149,10,137.85,1378.5
